condition,stimulus,left_image,right_image,target_image,center,audio,noun_onset_sec,noun_onset_frames,noun_onset_msec,noun_onset_sec_1,noun_offset_sec,noun_offset_frames,noun_offset_msec,noun_offset_sec_1,sentence_onset_sec_frames,sentence_onset_frames,sentence_onset_sec
Text-no-audio,4b64c952579821447303dffd8349243e_1024x768,shoe,book,book,text,no-audio,3,3,3090,3.09,3,29,3870,3.87,1,4,1.13
Text-no-audio,7752da27ca65dabada33367beaa69f25_1024x768,book,shoe,shoe,text,no-audio,3,9,3270,3.27,3,29,3870,3.87,1,16,1.53
Text-no-audio,99b353c521288473b018bc73ea413736_1024x768,shoe,book,shoe,text,no-audio,3,9,3270,3.27,3,29,3870,3.87,1,16,1.53
Text-no-audio,2fc689559701b9545f50912fdda34409_1024x768,ball,cookie,ball,text,no-audio,3,18,3540,3.54,4,8,4240,4.24,1,10,1.33
Text-no-audio,abb455bc188c65b7213d9b1274cb68ca_1024x768,ball,cookie,cookie,text,no-audio,3,6,3180,3.18,4,4,4120,4.12,1,8,1.27
Text-no-audio,084cf681b4ca321031b587c5ca1ac14a_1024x768,banana,juice,juice,text,no-audio,3,9,3270,3.27,4,6,4180,4.18,1,5,1.17
Text-no-audio,cfa6c940d06669e82dc0a2675729ee9f_1024x768,cookie,ball,ball,text,no-audio,3,18,3540,3.54,4,8,4240,4.24,1,10,1.33
Text-no-audio,4f5c85302b6f3574008d1c9758bd26fc_1024x768,juice,banana,banana,text,no-audio,3,17,3510,3.51,4,10,4300,4.3,1,15,1.5
Text-no-audio,944bc08f5858a1676f591e03038b4206_1024x768,book,shoe,book,text,no-audio,3,3,3090,3.09,3,29,3870,3.87,1,4,1.13
Text-no-audio,db14a5c134be77da744e075ee5938a70_1024x768,ball,cookie,ball,text,no-audio,3,18,3540,3.54,4,8,4240,4.24,1,10,1.33
Text-no-audio,fe4c508d4f47033b099b52a16523f298_1024x768,cookie,ball,ball,text,no-audio,3,18,3540,3.54,4,8,4240,4.24,1,10,1.33
Text-no-audio,1776c0764f32bbaec05efd2a57410f05_1024x768,ball,cookie,cookie,text,no-audio,3,6,3180,3.18,4,4,4120,4.12,1,8,1.27
Bullseye,0a4dd2d47c5816341bf6d27a43e5a559_1024x768,shoe,book,shoe,bullseye,audio,3,9,3270,3.27,3,29,3870,3.87,1,16,1.53
Bullseye,fda5fe3c07003f2672e8a641ca4ccbda_1024x768,book,shoe,shoe,bullseye,audio,3,9,3270,3.27,3,29,3870,3.87,1,16,1.53
Bullseye,174663d9a1ab0163354954f07f5db5c7_1024x768,banana,juice,juice,bullseye,audio,3,9,3270,3.27,4,6,4180,4.18,1,5,1.17
Bullseye,eb3acf47732965eda67d5b43b0595c97_1024x768,banana,juice,banana,bullseye,audio,3,17,3510,3.51,4,10,4300,4.3,1,15,1.5
Bullseye,775a2d09fdd8d0a71408c74ce0872a9f_1024x768,cookie,ball,cookie,bullseye,audio,3,6,3180,3.18,4,4,4120,4.12,1,8,1.27
Bullseye,d54cc224c44b79ffd03533beab8556bb_1024x768,banana,juice,juice,bullseye,audio,3,9,3270,3.27,4,6,4180,4.18,1,5,1.17
Bullseye,c4df888ac882d7f6d035734661d538c9_1024x768,ball,cookie,cookie,bullseye,audio,3,6,3180,3.18,4,4,4120,4.12,1,8,1.27
Bullseye,fdc1c394d28f64ddfb68ca5e879d45a4_1024x768,shoe,book,shoe,bullseye,audio,3,9,3270,3.27,3,29,3870,3.87,1,16,1.53
Bullseye,f7b47603c47d9a69122ddb50468dcb32_1024x768,shoe,book,book,bullseye,audio,3,3,3090,3.09,3,29,3870,3.87,1,4,1.13
Bullseye,64a369d1838ce05ed4df3fcce40bbc02_1024x768,banana,juice,banana,bullseye,audio,3,17,3510,3.51,4,10,4300,4.3,1,15,1.5
Bullseye,5c2d413ab05762280ba65272ef736631_1024x768,juice,banana,banana,bullseye,audio,3,17,3510,3.51,4,10,4300,4.3,1,15,1.5
Bullseye,be94c62f226c0b7ee0e2611abebd259f_1024x768,book,shoe,shoe,bullseye,audio,3,9,3270,3.27,3,29,3870,3.87,1,16,1.53
Bullseye,ae35bf8173a418253f9d5fd6774381a2_1024x768,juice,banana,banana,bullseye,audio,3,17,3510,3.51,4,10,4300,4.3,1,15,1.5
Bullseye,bded6615c4aca634324099a95997a35a_1024x768,ball,cookie,cookie,bullseye,audio,3,6,3180,3.18,4,4,4120,4.12,1,8,1.27
Bullseye,abfb6a80cc886bf7408e0c9f66f442f8_1024x768,ball,cookie,ball,bullseye,audio,3,18,3540,3.54,4,8,4240,4.24,1,10,1.33
Bullseye,8ec4de0e7afc51e04d6b4bbab57c2452_1024x768,book,shoe,book,bullseye,audio,3,3,3090,3.09,3,29,3870,3.87,1,4,1.13
Bullseye,38c3da18c8e62b0ff1ee90b8751ae9db_1024x768,juice,banana,juice,bullseye,audio,3,9,3270,3.27,4,6,4180,4.18,1,5,1.17
