subid,tr.num,noise_condition,correct,age,age_group,target_image,RT,condition,rt,guess,guess_num,ucl_bound,ewma_param,param_value
20,12,clear,1,2088,5,shoe,0.4349999999999996,clear,0.43,guess,0,0.019999999999999907,cs,0.55
45,4,clear,1,1957,5,bunny,0.4349999999999996,clear,0.43,guess,0,0.019999999999999907,cs,0.55
24,5,clear,1,1288,3,juice,0.43599999999999994,clear,0.44,guess,0,0.009999999999999898,cs,0.56
41,18,clear,1,1842,5,juice,0.43599999999999994,clear,0.44,guess,0,0.009999999999999898,cs,0.56
11,9,clear,1,1695,4,ball,0.4370000000000003,clear,0.44,guess,0,0,cs,0.57
13,7,clear,1,1282,3,bunny,0.4370000000000003,clear,0.44,guess,0,0,cs,0.57
27,21,clear,0,1356,3,bunny,0.4370000000000003,clear,0.44,guess,0,0,cs,0.57
27,25,clear,1,1356,3,bunny,0.4370000000000003,clear,0.44,guess,0,0,cs,0.57
31,26,clear,0,1289,3,bunny,0.4370000000000003,clear,0.44,guess,0,0.009999999999999898,cs,0.56
34,21,clear,0,1289,3,bunny,0.4370000000000003,clear,0.44,guess,0,0.009999999999999898,cs,0.56
48,25,clear,1,1946,5,bunny,0.4370000000000003,clear,0.44,guess,0,0.009999999999999898,cs,0.56
50,21,clear,0,1693,4,ball,0.4370000000000003,clear,0.44,guess,0,0.009999999999999898,cs,0.56
7,20,clear,0,1742,4,ball,0.4370000000000003,clear,0.44,guess,0,0.019999999999999907,cs,0.55
10,18,clear,0,1414,3,cookie,0.4379999999999997,clear,0.44,guess,0,0.019999999999999907,cs,0.55
19,9,clear,0,1129,3,bottle,0.4379999999999997,clear,0.44,guess,0,0.029999999999999916,cs,0.54
26,2,clear,0,1171,3,bottle,0.4379999999999997,clear,0.44,guess,0,0.029999999999999916,cs,0.54
27,17,clear,0,1356,3,bottle,0.4379999999999997,clear,0.44,guess,0,0.039999999999999925,cs,0.53
22,16,clear,0,1866,5,chicken,0.43900000000000006,clear,0.44,guess,0,0.04999999999999993,cs,0.52
42,32,clear,1,1151,3,boat,0.43900000000000006,clear,0.44,guess,0,0.039999999999999925,cs,0.53
34,30,clear,1,1289,3,boat,0.4399999999999995,clear,0.44,guess,0,0.039999999999999925,cs,0.53
30,18,clear,1,1767,4,ball,0.44200000000000017,clear,0.44,guess,0,0.029999999999999916,cs,0.54
31,21,clear,1,1289,3,ball,0.44200000000000017,clear,0.44,guess,0,0.029999999999999916,cs,0.54
42,21,clear,1,1151,3,juice,0.44200000000000017,clear,0.44,guess,0,0.019999999999999907,cs,0.55
36,3,clear,1,1160,3,juice,0.4429999999999996,clear,0.44,guess,0,0.019999999999999907,cs,0.55
5,18,clear,0,1962,5,cookie,0.4430000000000005,clear,0.44,guess,0,0.019999999999999907,cs,0.55
6,7,clear,1,1669,4,cookie,0.4430000000000005,clear,0.44,guess,0,0.019999999999999907,cs,0.55
11,3,clear,0,1695,4,shoe,0.4670000000000005,clear,0.47,guess,0,0.019999999999999907,cs,0.55
37,2,clear,1,1882,5,ball,0.46799999999999997,clear,0.47,guess,0,0.019999999999999907,cs,0.55
49,29,clear,1,1626,4,shoe,0.46799999999999997,clear,0.47,guess,0,0.009999999999999898,cs,0.56
