subid,tr.num,condition,dot,gender,age,notes,order,keep,reason_excluded,response,response_onset_type,rt,shift_type,shift_accuracy
10_20_01,32,text,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,target,center.fixation,0.19999999999999996,T_C,incorrect
10_20_01,32,text,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,noun,0.0900000000000003,C_T,correct
10_20_01,32,text,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,distracter,sentence,0.4670000000000001,D_C,incorrect
10_20_01,33,text,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,center.fixation,0.06699999999999995,C_D,incorrect
10_20_01,33,text,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,target,noun,0.11000000000000032,T_C,incorrect
10_20_01,33,text,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,distracter,sentence,0.3370000000000002,D_C,incorrect
10_20_01,34,text,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,center.fixation,2.633,C_D,incorrect
10_20_01,34,text,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,noun,0.363,C_D,incorrect
10_20_01,34,text,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,sentence,2.463,C_D,incorrect
10_20_01,35,text,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,center.fixation,2.7,C_T,correct
10_20_01,35,text,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,noun,0.43000000000000016,C_T,correct
10_20_01,35,text,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,sentence,2.5300000000000002,C_T,correct
10_20_01,36,text,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,target,center.fixation,0.43300000000000005,T_C,incorrect
10_20_01,36,text,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,noun,0.3969999999999998,C_T,correct
10_20_01,36,text,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,target,sentence,0.2630000000000001,T_C,incorrect
10_20_01,37,text,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,center.fixation,2.933,C_T,correct
10_20_01,37,text,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,noun,0.6629999999999998,C_T,correct
10_20_01,37,text,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,sentence,2.4029999999999996,C_T,correct
10_20_01,38,text,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,center.fixation,2.667,C_D,incorrect
10_20_01,38,text,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,noun,0.3969999999999998,C_D,incorrect
10_20_01,38,text,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,sentence,2.497,C_D,incorrect
10_20_01,39,text,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,center.fixation,2.833,C_T,correct
10_20_01,39,text,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,noun,0.3230000000000004,C_T,correct
10_20_01,39,text,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,sentence,2.333,C_T,correct
10_20_01,40,text,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,target,center.fixation,0.133,T_C,incorrect
10_20_01,40,text,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,noun,0.48699999999999966,C_T,correct
10_20_01,40,text,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,sentence,0.563,C_D,incorrect
10_20_01,41,text,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,distracter,center.fixation,0.8999999999999999,D_C,incorrect
10_20_01,41,text,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,distracter,noun,0.7970000000000002,D_T,incorrect
10_20_01,41,text,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,distracter,sentence,0.3699999999999999,D_C,incorrect
10_20_01,42,text,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,center.fixation,0.567,C_T,correct
